OBJECTID_1,OBJECTID,Fire_Name,Fire_Year,Cause,Acres,Perimeter,Shape_Leng,Complex,Fire_Num,Label,Agency,TOT_ACRES_,Shape_Le_1,Shape_STArea_1,Shape_STLength_1,time_,comments,unit_id,fire,inc_num,Shape__Area,Shape__Length
542,95,I94 MM105-Rosebud,2017,,0.201870061658087,,127.42477972,,429,,CTY,0.20186987,,,,,Arson,MT/LG29,,,816.936752319336,127.470867924486
543,96,Jackson,2017,,14.2421181551177,,1184.85706365,,401,,BLM,14.24207353,,,,, ,MT/MCFO,,,57635.6229858398,1184.82998663562
544,97,Kiwah,2017,,83.1791223789757,,3319.52618657,,333,,BLM,83.17886183,,,,, ,MT/MCFO,,,336612.90246582,3319.67803008425
545,98,Flat-Prairire,2017,,43.2410281619099,,1860.66783909,,109,,CTY,43.24088961,,,,, ,MT/LG45,,,174989.681488037,1860.3185795993
546,99,Lee Creek,2017,,4007.33614401546,,16697.4040051,,137,,BLM,4007.32370788,,,,, ,MT/MCFO,,,16217063.6631546,16697.9481285533
547,102,Level Up,2017,,14.2262148478101,,1294.62979234,,199,,BLM,14.22616983,,,,, ,MT/MCFO,,,57571.2591552734,1294.61202848887
548,103,Little Pumpkin,2017,,26.961714601414,,1528.16305039,,322,,BLM,26.96162897,,,,, ,MT/MCFO,,,109109.845184326,1528.05437527367
549,104,Lizard,2017,,4.52744213775232,,804.23887055,,91,,BLM,4.52742767,,,,, ,MT/MCFO,,,18321.8511657715,804.209399809323
550,108,Lone Tree,2017,,163.224374952709,,6208.04988977,,368,,BLM,163.22386552,,,,, ,MT/MCFO,,,660543.558959961,6208.63823646707
551,111,Lynch,2017,,12.3475085976311,,888.20947223,,526,,BLM,12.34747035,,,,, ,MT/MCFO,,,49968.4402923584,888.157950724572
552,112,Maxwell Butte,2017,,988.264868414197,,9895.07558612,,219,,BLM,988.26174978,,,,, ,MT/MCFO,,,3999353.41905212,9894.39846733285
553,113,McCabe,2017,,2.24785373153897,,824.39229241,,374,,BLM,2.24784701,,,,, ,MT/MCFO,,,9096.71278381348,824.583623415441
554,114,McGinnis Creek,2017,,628.892686643377,,10432.5017752,,183,,BLM,628.89074094,,,,, ,MT/MCFO,,,2545030.55369568,10431.9437854455
555,115,Mildred,2017,,0.00539389689612761,,18.06598616,,34,,BLM,0.00539396,,,,, ,MT/MCFO,,,21.8282470703125,18.0662701261879
556,116,Mile Marker 4,2017,,1478.79431426445,,12590.8869941,,174,,BLM,1478.7897581,,,,, ,MT/MCFO,,,5984449.79721069,12590.9316697726
557,117,Miles City,2017,,19.3775582576192,,1866.96498413,,336,,BLM,19.3774989,,,,, ,MT/MCFO,,,78417.9515533447,1867.62833377327
558,118,Miller Creek,2017,,11.3991092187923,,1212.42846403,,17,,BLM,11.39907386,,,,, ,MT/MCFO,,,46130.4141693115,1212.41661059752
559,119,Mills,2017,,22.8341975371477,,1360.62543555,,338,,BLM,22.83412725,,,,, ,MT/MCFO,,,92406.4302062988,1360.6420235435
560,120,Mitchell,2017,,1247.3334338028,,12355.7671299,,487,,BLM,1247.3291447,,,,, ,MT/MCFO,,,5047761.9105835,12357.0920728432
561,121,MM17,2017,,2.13453339337618,,436.10065038,,324,,DNRC,2.13452627,,,,, ,MT/EAS,,,8638.12251281738,436.217304904712
562,122,Montague Fire,2017,,4.73833025330447,,645.9103726,,141,,BLM,4.73831621,,,,, ,MT/MCFO,,,19175.282989502,645.97824119488
563,123,NNN Road-Rosebud,2017,,4.74299619406104,,557.09986176,,229,,CTY,4.74298238,,,,, ,MT/LG29,,,19194.1653289795,557.197647097134
564,124,North Reservation,2017,,10.3365418290134,,993.75336708,,527,,BLM,10.33650875,,,,, ,MT/MCFO,,,41830.3614654541,993.844513796139
565,125,O Dell Creek,2017,,3.45904278079316,,525.66437527,,309,,BLM,3.45903165,,,,, ,MT/MCFO,,,13998.2058105469,525.637710155845
566,126,Old HWY 10-Rosebud,2017,,5.30715167909963,,689.74778756,,428,,CTY,5.30713651,,,,, ,MT/LG29,,,21477.2144012451,689.806938864485
567,127,Paget,2017,,0.0563595920366121,,78.33186011,,49,,BLM,0.05635932,,,,, ,MT/MCFO,,,228.078453063965,78.3393660016301
568,128,Pass,2017,,18.5216516004309,,1208.11376471,,548,,BLM,18.52159381,,,,, ,MT/MCFO,,,74954.2312011719,1208.12971751842
569,130,Pinto,2017,,9.73991046571161,,1670.95253215,,67,,BLM,9.73988081,,,,, ,MT/MCFO,,,39415.8964157104,1670.88866243587
570,131,Pony Creek,2017,,53.2926357595074,,1895.07947561,,125,,DNRC,53.2924657,,,,, ,MT/EAS,,,215666.963531494,1895.4817593509
571,132,Potato,2017,,1094.84360680308,,13093.5357127,,371,,BLM,1094.84022284,,,,, ,MT/MCFO,,,4430661.1608429,13092.3839055195
572,133,Prong,2017,,0.689606995768821,,244.30796744,,479,,BLM,0.689605,,,,, ,MT/MCFO,,,2790.73179626465,244.272942325089
573,134,Quarter,2017,,308.090779549076,,11140.8805675,,562,,BLM,308.08985581,,,,, ,MT/MCFO,,,1246795.4465332,11142.1069102055
574,137,Red Butte,2017,,474.365600403683,,7310.07256572,,576,,BLM,474.36412794,,,,, ,MT/MCFO,,,1919683.5062561,7310.13838324745
575,138,Richard Coulee-Rosebud,2017,,21.134404618358,,1515.32839353,,75,,CTY,21.13433877,,,,,Coal Seam,MT/LG29,,,85527.6348114014,1515.22812146867
576,139,River,2017,,258.400981124652,,5170.71814749,,569,,BIA,258.40010387,,,,, ,MT/NCAC,,,1045708.09815979,5170.03109692708
577,141,Rock Spring-Rosebud,2017,,27.2418210773601,,1805.28167186,,315,,CTY,27.24173768,,,,, ,MT/LG29,,,110243.395248413,1805.48980940524
578,142,Romeo-Rosebud,2017,,0.318935625219116,,151.39034203,,583,,CTY,0.31893425,,,,, ,MT/LG29,,,1290.68263244629,151.391264866912
579,144,659 Reservation-Rosebud,2017,,1.18868708344563,,272.54793303,,352,,CTY,1.18868286,,,,, ,MT/LG29,,,4810.43106079102,272.559233009081
580,145,Rosebud Creek-Rosebud,2017,,0.725153454577999,,318.35752687,,107,,CTY,0.72515065,,,,, ,MT/LG29,,,2934.58271789551,318.191877681482
581,146,Rough,2017,,31.9923839129837,,1547.42216762,,215,,BLM,31.99228645,,,,, ,MT/MCFO,,,129468.187850952,1547.51849576969
582,147,Rough Draw-Rosebud,2017,,38.9543465117761,,1736.63347846,,142,,CTY,38.95422481,,,,,Coal Seam,MT/LG29,,,157642.150054932,1736.70839422004
583,148,Rough Prong,2017,,0.192564075368727,,211.30930055,,144,,BLM,0.19256334,,,,, ,MT/MCFO,,,779.276657104492,211.336914429238
584,149,Sagebrush Draw,2017,,658.688412144094,,8808.92426988,,494,,BLM,658.68636038,,,,, ,MT/MCFO,,,2665609.12658691,8808.22525956028
585,150,Sand,2017,,9.62436091222648,,1315.8428232,,164,,BLM,9.62433236,,,,, ,MT/MCFO,,,38948.2891845703,1315.74597648507
